"","cancers","SA_vs_TMB_cor","SA_vs_leuk_frac_cor","SA_vs_numImmMut_cor","SA_vs_num_TCR_Clones_cor","numImmMut_vs_TMB_cor","SA_vs_TMB_pval","SA_vs_leuk_frac_pval","SA_vs_numImmMut_pval","SA_vs_num_TCR_Clones_pval","numImmMut_vs_TMB_pval"
"BLCA","BLCA",0.00589875727901011,0.182942742314317,0.033284239891952,0.0869119859043826,0.820407369968107,0.861022372072024,6.33892170060063e-08,0.321405509200838,0.0114085194976254,3.10829673522049e-133
"BRCA","BRCA",0.00792580692906244,0.167592488889477,0.0395855290397166,0.119175473789603,0.769495334915848,0.706394904926342,2.38072740188669e-15,0.0705398454768373,1.72195627476987e-08,1.1908655198801e-282
"CHOL","CHOL",-0.146218487394958,0.112605042016807,-0.0979625856782088,0.164724887069921,0.469189226143,0.223769078367268,0.351251725164694,0.416509735854453,0.174457092628133,9.96649840962651e-05
"COAD","COAD",-0.0404658270187058,0.104443036990197,-0.0223939940523289,0.112401960442782,0.715556911879595,0.268642333518459,0.00405399940550384,0.541400285294701,0.00171049945227635,2.6033111185277e-79
"HNSC","HNSC",-0.0145321867115732,0.201594990232023,0.0186971143818361,0.157142868841542,0.801879103059311,0.63634501288162,5.40511538151331e-11,0.547011876731591,4.5396584633078e-07,7.58203219659631e-151
"KICH","KICH",-0.0262295081967213,0.0830601092896175,0.137417052906568,0.107361507064113,0.583869850721074,0.765169028350587,0.34420824610672,0.126212287820006,0.252823153196453,1.97079900321043e-11
"KIRC","KIRC",-0.04722355592515,0.0663255750050997,0.018298561288261,0.0868503166126714,0.613298067965834,0.202811257742856,0.0771999385525446,0.630522900850504,0.0196051623593164,3.69752315982946e-64
"KIRP","KIRP",-0.0881711958267646,0.0996461057003305,-0.0288230385227431,0.142498570904211,0.663075139882607,0.0334948772210508,0.0162474427300685,0.496815341779089,0.000818026002539607,2.23170226418037e-57
"LIHC","LIHC",-0.0572159446110495,0.152201872201872,0.0123403978865078,0.121725794385951,0.746307656486008,0.131934970701594,2.08093861940549e-05,0.735984830090241,0.000978702053403461,1.11268909782397e-84
"LUAD","LUAD",-0.0535358522322581,0.193096311776037,-0.0304472353796015,0.107940579836689,0.872818456783093,0.0724442167241833,3.3269757640826e-10,0.310468698851795,0.0003306973528504,1.68877746601373e-192
"LUSC","LUSC",-0.0179158310710777,0.161428923380143,0.0289280105094095,0.0886758545969404,0.770159934232556,0.569694161879195,3.01576674498339e-07,0.359318795721399,0.00522116850932194,2.09463807853182e-132
"PRAD","PRAD",-0.0472902497233517,0.1361484147861,0.0220988183425606,0.0522701465116658,0.629995756269498,0.127169082698292,1.12280546843542e-05,0.487884397243318,0.0991112839824055,2.2125453054727e-91
"READ","READ",0.0377012262550943,0.138477942156471,0.0598609583399333,0.0902777533303147,0.612503338932291,0.55937188334786,0.0231263025998788,0.35326432454928,0.141590709273926,2.17896569874729e-19
"THCA","THCA",-0.0375766094637242,0.0664599807703628,-0.0136489174675088,0.0944576000319514,0.608244244858212,0.232713146660988,0.0347498468366601,0.681326015664948,0.00327698440401192,1.8697479782236e-81
"UCEC","UCEC",-0.0274102138852998,0.106710671067107,-0.00937634970929255,0.101873173491141,0.824586024101015,0.40319273123699,0.0013393933549067,0.777850944420656,0.00228915227408624,2.07315980301912e-143
